,W (매주),2W (격주),M (매월),Q (분기),Y (연),S&P500,NASDAQ,DowJones
2015,1.0348284459546429,1.0353786766653097,1.0349483206274357,1.0368710313985199,1.0447383326895778,0.983883864732301,0.9988609965841586,0.9812545025599287
2016,1.1674156409916683,1.1637274575127212,1.1661137011900091,1.1666857606742311,1.1614896395289938,1.0776974142542723,1.0738063304590395,1.1128899423122398
2017,1.5421086162776456,1.5380384126540023,1.5404218316611278,1.5383213829498312,1.5367260492601782,1.2869858805478174,1.3770645776171315,1.3920118125175291
2018,1.5516056125253692,1.5461288428726219,1.551195348015212,1.5512250250662367,1.5429595170261763,1.2067132269501213,1.3235828446254798,1.3136377384638227
2019,2.181750443643536,2.1766320727025534,2.1814752516120346,2.183179644816522,2.1831777584272625,1.555188720045053,1.7898233833680566,1.6070832210557575
2020,3.0506988832080215,3.037456475432797,3.036043381159337,3.0581882686994555,3.056593658669508,1.8080456574081996,2.5709099267839175,1.7235406756452065
2021,4.17522652016917,4.139722406656421,4.140825548582657,4.1414148918208875,4.132228424415599,2.2942786509332582,3.120804880163088,2.046316287305943
2022,2.5761186828342484,2.5919798692056886,2.554305809366361,2.556717809312274,2.5860504505109008,1.8482060172671366,2.0878176114044495,1.8666188593331536
2023,3.9132134429091954,3.987932905584637,3.9242153708714658,3.9319451928220133,4.036236489703523,2.296035591022894,2.994412513258666,2.122408477736044
2024,6.019205521142291,6.073129538328367,6.012252371576282,6.0901246404794485,6.173393991496838,2.83121858074027,3.85204994316671,2.395789728389087
2025,6.008148484334909,6.06431020420135,5.981868982573806,6.0558118015102345,6.112532543170942,2.8789894879747733,3.89902277909431,2.374809861362399
