,W (매주),2W (격주),M (매월),Q (분기),Y (연),KOSPI,KOSPI200
2015,0.9586873070286887,0.9557849718967145,0.9550371903284407,0.9617395517893993,0.9561087014732208,0.9348964912364328,0.942407966440585
2016,1.0434180440300231,1.040947096018464,1.0381729886554627,1.0454403316983643,1.0456956212073665,0.9659515036536711,1.019367232524405
2017,1.313685479717549,1.3088047738111817,1.3037618183598436,1.3116519275900076,1.3106651086222476,1.1761770159541254,1.2731407064727331
2018,1.146537390619873,1.1255858908821132,1.1126385726442094,1.0920630661618134,1.0782576033241233,0.9729013437310822,1.0270906025796842
2019,1.3927184046045755,1.363894099158946,1.3481980877892075,1.3266348247278943,1.3010834403270106,1.0475620742746283,1.1517230564158858
2020,2.3632173773057126,2.2949058037696553,2.2668122190580173,2.271685991937908,2.1569124314195327,1.3696952652426961,1.5262084917865686
2021,2.450641277872001,2.4057877608595932,2.34821184105808,2.34882815010328,2.207935728739275,1.41935468494535,1.5454189046144196
2022,1.7584612738090568,1.7290808998595697,1.6784843649025738,1.6905142869149,1.5303823197362125,1.0660234807354056,1.141255341670914
2023,2.100272837092415,2.1052677378478033,1.990882517329729,2.0168083454006482,1.8550150368191685,1.2656907654834144,1.4034970792331518
2024,1.9807291028744685,2.0245687428636594,1.883076301627323,1.9258596784485245,1.738261745746804,1.143763495702825,1.2460108989689105
2025,2.2047929644321616,2.251405666973166,2.077333027353105,2.1224728246422004,1.9218087652491243,1.4404187064145404,1.5890539851805388
