market,window,scheme,scheme_en,freq,total_return,cagr,mdd,n_rebal,cost_drag
US,5년,순위선형,rank,M (매월),1.5382934677366773,0.20505861306375017,-0.4189968179393614,61,0.01024123803299007
US,5년,순위선형,rank,Q (분기),1.4519431294822676,0.19673550206732937,-0.40571188490760446,21,0.005508738972770359
US,5년,순위선형,rank,Y (연),1.0962977306581503,0.1597647340914785,-0.41312460030755704,6,0.003426064960818821
US,5년,시총가중,mcap,W (매주),1.4840710811506272,0.1998592250561555,-0.40788405654256177,261,0.006728878512130748
US,5년,시총가중,mcap,2W (격주),1.5619371076608801,0.20729802720890178,-0.39489503710804386,131,0.004834502226968929
US,5년,시총가중,mcap,M (매월),1.428563805103575,0.1944417452545273,-0.40659339106013237,61,0.003972401351265377
US,5년,시총가중,mcap,Q (분기),1.3708483871601853,0.1887027000174042,-0.39685468180175254,21,0.0028556103210161687
US,5년,시총가중,mcap,Y (연),1.1362821531800273,0.16416101773830083,-0.40144502846061636,6,0.0027164794292109736
US,5년,균등,equal,W (매주),1.9032768041697778,0.23791802979055943,-0.3995303652457267,261,0.029278255074469097
US,5년,균등,equal,2W (격주),2.1264025227577177,0.25640920995759897,-0.3602322814406861,131,0.021139042716235894
US,5년,균등,equal,M (매월),1.7142393081883203,0.22134008953321493,-0.3952195607875566,61,0.013963433140481612
US,5년,균등,equal,Q (분기),1.63147461284643,0.2137898582999398,-0.3639934504460999,21,0.007993414180431932
US,5년,균등,equal,Y (연),1.2040569506695635,0.171464788080661,-0.3564084239602079,6,0.00499918086710413
KR,10년,순위선형,rank,W (매주),0.2338304111658307,0.02129652987697872,-0.42657421031262843,520,0.07787961241536441
KR,10년,순위선형,rank,2W (격주),0.31989160607861167,0.0282259926548305,-0.43974964279279605,261,0.054551892722858104
KR,10년,순위선형,rank,M (매월),0.33689320445230453,0.029546640150133197,-0.4195602305847488,120,0.03379040300152016
KR,10년,순위선형,rank,Q (분기),0.3223073319738812,0.02841457061824415,-0.41413129327737697,40,0.017192429364195835
KR,10년,순위선형,rank,Y (연),0.24618153116971753,0.02231724659636014,-0.41050363374069143,11,0.008512443862990767
KR,10년,시총가중,mcap,W (매주),0.5460880120663769,0.04466724560947721,-0.41364994083997697,520,0.028819160183337016
KR,10년,시총가중,mcap,2W (격주),0.5708415010721248,0.046332661774104,-0.42846483960337767,261,0.01934295330277602
KR,10년,시총가중,mcap,M (매월),0.6443541888147124,0.051143015813910564,-0.4164856400022029,120,0.012625329769077103
KR,10년,시총가중,mcap,Q (분기),0.6936442504122693,0.054261117231101164,-0.38580452676463206,40,0.008342306479534869
KR,10년,시총가중,mcap,Y (연),0.6048273180744443,0.048581174615831335,-0.4034792946219058,11,0.005391758308850695
KR,10년,균등,equal,W (매주),0.2817877097875605,0.025209670328924183,-0.4738201189023088,520,0.08239757086463964
KR,10년,균등,equal,2W (격주),0.34181851007718644,0.029926404407355278,-0.4673629048174338,261,0.057600215633011986
KR,10년,균등,equal,M (매월),0.35656707683394573,0.03105613447230815,-0.47164585428423744,120,0.03644850694703734
KR,10년,균등,equal,Q (분기),0.4317849853190443,0.03665135678995668,-0.47686289365817924,40,0.020347577857420158
KR,10년,균등,equal,Y (연),0.30778528041114805,0.02727623747893637,-0.4848602045931958,11,0.009241833359049604
KR,5년,순위선형,rank,W (매주),0.06494621808221646,0.012680103088431371,-0.419304310596482,261,0.03576552835537854
KR,5년,순위선형,rank,2W (격주),0.07579156270368137,0.0147369024322479,-0.4164988062098386,131,0.023038620828477754
KR,5년,순위선형,rank,M (매월),0.04635466173776881,0.009114944011258563,-0.4195602305847487,61,0.015138954648947333
KR,5년,순위선형,rank,Q (분기),0.11649993413195636,0.022312209470562117,-0.38308420725486614,21,0.008031290517612677
KR,5년,순위선형,rank,Y (연),0.11843544180796672,0.022666846669029406,-0.3992436857585019,6,0.0042577661121253295
KR,5년,시총가중,mcap,W (매주),0.16281675393393513,0.030667112573466104,-0.41364994083997697,261,0.010512247093939156
KR,5년,시총가중,mcap,2W (격주),0.15676820215766196,0.029591318481939854,-0.4153420717323496,131,0.0077245155922053875
KR,5년,시총가중,mcap,M (매월),0.13655464147211926,0.025963188735242726,-0.41648564000220223,61,0.005830975442750095
KR,5년,시총가중,mcap,Q (분기),0.19547537710716112,0.03639964890365133,-0.3858045267646327,21,0.003627276562007645
KR,5년,시총가중,mcap,Y (연),0.1723833532230148,0.03235952435357459,-0.4034792946219061,6,0.0026461042156581192
KR,5년,균등,equal,W (매주),0.2110206074757135,0.039084391221138715,-0.42541597144558685,261,0.03998229727420964
KR,5년,균등,equal,2W (격주),0.16592845113608146,0.031218815933790944,-0.4467460533891957,131,0.027005811370970842
KR,5년,균등,equal,M (매월),0.09915387153504618,0.019111795693013134,-0.44262768684973086,61,0.017881000120170264
KR,5년,균등,equal,Q (분기),0.2265366776409492,0.041736752489042406,-0.3938736624811452,21,0.009241055771435273
KR,5년,균등,equal,Y (연),0.22276618917664037,0.041094693439702956,-0.4140294563129625,6,0.004799944384090685
