,AAPL,MSFT,XOM,GOOGL,BRK-B,JNJ,WFC,WMT,PG,JPM,AMZN,META,GE,BAC,V,TSLA,NVDA,UNH,LLY,AVGO,005930,005380,000660,005490,012330,017670,032830,035420,000270,090430,028260,051910,068270,207940,105560,055550,006400,035720,373220,^GSPC,^IXIC,^DJI,KS11,KS200
2015-06-01,32.6349983215332,47.22999954223633,85.12999725341797,27.460500717163086,143.35000610351562,100.04000091552734,56.040000915527344,24.90999984741211,78.8499984741211,66.08000183105469,21.54599952697754,80.29000091552734,130.73768615722656,16.549999237060547,69.11000061035156,16.6299991607666,0.559499979019165,119.86000061035156,79.0,14.661999702453613,25820.0,154500.0,50600.0,239000.0,218500.0,42962.0,108500.0,123575.0,47350.0,387500.0,188500.0,250500.0,49018.0,,39450.0,40900.0,121400.0,23343.0,,2111.72998046875,5082.93017578125,18040.369140625,2102.37,258.74
2015-06-02,32.4900016784668,46.91999816894531,85.13999938964844,27.697500228881836,143.02999877929688,99.9800033569336,56.18000030517578,24.843332290649414,78.54000091552734,66.0199966430664,21.54949951171875,80.44000244140625,130.97731018066406,16.719999313354492,69.04000091552734,16.55666732788086,0.5485000014305115,117.75,77.94999694824219,14.416000366210938,26060.0,138500.0,51200.0,240000.0,200000.0,42875.0,110500.0,122373.0,45400.0,370000.0,186000.0,254000.0,48255.0,,39850.0,40550.0,119442.0,22400.0,,2109.60009765625,5076.52001953125,18011.939453125,2078.64,256.29
2015-06-03,32.529998779296875,46.849998474121094,84.94999694824219,27.76449966430664,143.19000244140625,100.08999633789062,56.90999984741211,24.963333129882812,78.55999755859375,66.69999694824219,21.829500198364258,82.44000244140625,131.93580627441406,16.93000030517578,68.94999694824219,16.599332809448242,0.5425000190734863,118.3499984741211,77.83000183105469,14.305999755859375,25460.0,135500.0,49800.0,236500.0,204500.0,42271.0,106000.0,120370.0,45000.0,381000.0,182000.0,263000.0,45274.0,,39750.0,41150.0,120421.0,22440.0,,2114.070068359375,5099.22998046875,18076.26953125,2063.16,254.11
2015-06-04,32.34000015258789,46.36000061035156,84.22000122070312,27.58449935913086,141.3699951171875,99.2300033569336,56.13999938964844,24.71666717529297,78.1500015258789,66.33000183105469,21.538999557495117,82.05000305175781,130.641845703125,16.780000686645508,68.20999908447266,16.39466667175293,0.5522500276565552,116.6500015258789,77.68000030517578,14.119999885559082,26740.0,139000.0,48300.0,234500.0,203500.0,41495.0,106500.0,116164.0,44450.0,400000.0,191000.0,264000.0,47146.0,,38750.0,40600.0,116994.0,22861.0,,2095.840087890625,5059.1201171875,17905.580078125,2072.86,255.47
2015-06-05,32.162498474121094,46.13999938964844,84.27999877929688,27.476499557495117,140.75999450683594,98.58999633789062,56.61000061035156,24.35333251953125,77.43000030517578,67.41999816894531,21.34749984741211,82.13999938964844,130.78561401367188,17.190000534057617,68.37000274658203,16.609333038330078,0.5565000176429749,116.52999877929688,78.12000274658203,14.380999565124512,26820.0,137500.0,49050.0,229000.0,214000.0,41840.0,108000.0,113160.0,44150.0,387500.0,197000.0,260000.0,50127.0,,38350.0,40100.0,113567.0,22219.0,,2092.830078125,5068.4599609375,17849.4609375,2068.1,254.94
2015-06-08,31.950000762939453,45.72999954223633,84.8499984741211,27.173999786376953,139.52000427246094,97.95999908447266,56.119998931884766,24.203332901000977,77.70999908447266,66.88999938964844,21.174999237060547,80.66999816894531,130.54598999023438,17.079999923706055,67.68000030517578,17.086000442504883,0.543749988079071,116.91000366210938,78.5199966430664,13.86299991607666,26280.0,134500.0,48050.0,229000.0,209000.0,42185.0,107000.0,117566.0,43050.0,399500.0,183500.0,264500.0,55120.0,,39150.0,40950.0,111120.0,22921.0,,2079.280029296875,5021.6298828125,17766.55078125,2065.19,254.21
2015-06-09,31.854999542236328,45.650001525878906,84.58000183105469,27.107999801635742,139.6300048828125,98.20999908447266,56.70000076293945,24.156667709350586,78.9000015258789,67.18000030517578,21.27400016784668,80.66999816894531,130.97731018066406,17.309999465942383,67.94999694824219,17.066667556762695,0.546500027179718,116.98999786376953,82.7699966430664,14.020999908447266,25640.0,135500.0,48000.0,232000.0,206500.0,43393.0,104000.0,118167.0,43200.0,399000.0,182500.0,267500.0,54010.0,,38850.0,40800.0,110141.0,23483.0,,2080.14990234375,5013.8701171875,17764.0390625,2064.03,253.51
2015-06-10,32.220001220703125,46.61000061035156,85.20999908447266,27.6299991607666,140.86000061035156,98.87999725341797,57.209999084472656,24.309999465942383,79.54000091552734,68.26000213623047,21.53849983215332,82.16000366210938,132.4150390625,17.59000015258789,69.62999725341797,16.713333129882812,0.5367500185966492,118.55000305175781,83.18000030517578,14.28600025177002,25240.0,134500.0,47500.0,228000.0,208000.0,44256.0,108000.0,113761.0,44250.0,389000.0,178500.0,267500.0,52069.0,,39950.0,42100.0,110630.0,23283.0,,2105.199951171875,5076.68994140625,18000.400390625,2051.32,252.11
2015-06-11,32.147499084472656,46.439998626708984,85.08999633789062,27.50200080871582,141.36000061035156,99.23999786376953,57.2599983215332,24.31333351135254,79.41000366210938,68.5199966430664,21.648500442504883,81.83000183105469,131.83995056152344,17.489999771118164,69.63999938964844,16.76066780090332,0.5425000190734863,119.31999969482422,86.58999633789062,14.199000358581543,25140.0,138000.0,47100.0,231500.0,217500.0,45291.0,108000.0,113360.0,45850.0,380000.0,180000.0,269000.0,51514.0,,40000.0,42200.0,111120.0,22982.0,,2108.860107421875,5082.509765625,18039.369140625,2056.61,252.32
2015-06-12,31.792499542236328,45.970001220703125,84.0199966430664,27.37350082397461,140.2899932861328,98.3499984741211,57.09000015258789,24.143333435058594,78.87000274658203,68.25,21.496000289916992,81.52999877929688,131.26486206054688,17.489999771118164,69.33000183105469,16.71266746520996,0.5277500152587891,117.6500015258789,84.20999908447266,14.04699993133545,25540.0,136000.0,46550.0,225000.0,213000.0,44342.0,106500.0,120370.0,45850.0,382500.0,182000.0,262000.0,51514.0,,39050.0,41600.0,111120.0,22239.0,,2094.110107421875,5051.10009765625,17898.83984375,2052.17,251.66
