market,window,index,total_return,cagr,mdd
US,10년,S&P500,1.8789894879747733,0.1118761337508829,-0.3392496000265327
US,10년,NASDAQ,2.89902277909431,0.14621464124345884,-0.36395279909120204
US,10년,DowJones,1.3748098613623991,0.09061427873882533,-0.37086171369594334
US,5년,S&P500,0.9182612147833076,0.13933475479176138,-0.25425096619230403
US,5년,NASDAQ,0.9436491317204896,0.14233840746344795,-0.36395279909120204
US,5년,DowJones,0.6204312566511416,0.10148310569903263,-0.21940803824764799
KR,10년,KOSPI,0.4404187064145404,0.0372765698144466,-0.4389786736150936
KR,10년,KOSPI200,0.5890539851805388,0.04754298787083244,-0.4118584540920225
KR,5년,KOSPI,0.4208855849120481,0.0728758252691768,-0.3478508173459478
KR,5년,KOSPI200,0.44026721626039356,0.07579049949993988,-0.3611262488646685
