,W (매주),2W (격주),M (매월),Q (분기),Y (연),S&P500,NASDAQ,DowJones
2015,1.1214911248961392,1.1174731890513712,1.1096871666013692,1.1074975217712288,1.1092698623463446,0.983883864732301,0.9988609965841586,0.9812545025599287
2016,1.233051069076988,1.2308234814119605,1.215770900338242,1.2124865402648697,1.2270385974609392,1.0776974142542723,1.0738063304590395,1.1128899423122398
2017,1.6254228072932133,1.622663610433222,1.6029258520404115,1.600259963845301,1.6070339412700845,1.2869858805478174,1.3770645776171315,1.3920118125175291
2018,1.6432012396098572,1.6481014962319038,1.6320216660583768,1.6273381421696467,1.6349180196073414,1.2067132269501213,1.3235828446254798,1.3136377384638227
2019,2.2561133946616088,2.263976049751843,2.237339858982803,2.2265810207641232,2.2464601000967286,1.555188720045053,1.7898233833680566,1.6070832210557575
2020,3.3139873390303216,3.2935103390344644,3.303764612754491,3.18598193981724,3.1520416569321306,1.8080456574081996,2.5709099267839175,1.7235406756452065
2021,4.558457627762136,4.530300477732747,4.491238290803745,4.296844230534066,4.134303375074651,2.2942786509332582,3.120804880163088,2.046316287305943
2022,2.809320468584973,2.8283055913600137,2.774490589245557,2.7163032659615363,2.570285118458573,1.8482060172671366,2.0878176114044495,1.8666188593331536
2023,4.588689737800253,4.578579372394944,4.3540109920763035,4.197713675007475,3.6339850233113196,2.296035591022894,2.994412513258666,2.122408477736044
2024,6.799480223786501,6.720908951231678,6.559165568584614,6.349198945554673,5.553476723959209,2.83121858074027,3.85204994316671,2.395789728389087
2025,6.620005208100107,6.523872489284236,6.440912868477885,6.1842467373191985,5.460926626874249,2.8789894879747733,3.89902277909431,2.374809861362399
