market,window,scheme,scheme_en,freq,total_return,cagr,mdd,n_rebal,cost_drag
US,10년,순위선형,rank,W (매주),5.008148484334909,0.1971304853263003,-0.4185682233049115,521,0.039651846365724136
US,10년,순위선형,rank,2W (격주),5.06431020420135,0.1982486631584337,-0.40812858532785545,261,0.031192137137974345
US,10년,순위선형,rank,M (매월),4.981868982573806,0.19660402842603086,-0.41512752905084127,120,0.02265254983350122
US,10년,순위선형,rank,Q (분기),5.0558118015102345,0.1980800600337027,-0.41646221639148795,40,0.014970319923987646
US,10년,순위선형,rank,Y (연),5.112532543170942,0.19920135890203383,-0.4074260272657175,11,0.007486445229520458
US,10년,시총가중,mcap,W (매주),4.906853133679229,0.19508970735690867,-0.3916301372877923,521,0.037127340644769906
US,10년,시총가중,mcap,2W (격주),4.91175964691421,0.19518928089301357,-0.3853666777738026,261,0.028911869726521183
US,10년,시총가중,mcap,M (매월),4.885474617447648,0.19465497813385824,-0.38922960154923636,120,0.02092735079206869
US,10년,시총가중,mcap,Q (분기),4.95754381001423,0.19611486488887464,-0.3902947254242721,40,0.013678091519734644
US,10년,시총가중,mcap,Y (연),5.035114679673693,0.1976685495712518,-0.3813559023506724,11,0.004444825158673707
US,10년,균등,equal,W (매주),5.730824570978471,0.21085235632508637,-0.36076956578937636,521,0.04099186251413256
US,10년,균등,equal,2W (격주),5.633908839586725,0.2090914525026477,-0.35245017929581013,261,0.031228205640567726
US,10년,균등,equal,M (매월),5.652563368338263,0.20943218539423625,-0.3583222838860486,120,0.022780023879335864
US,10년,균등,equal,Q (분기),5.7606931016520075,0.21139045295354575,-0.3572903891057413,40,0.01566204580796067
US,10년,균등,equal,Y (연),5.96762403994214,0.21506074894536398,-0.33591904149887686,11,0.011299192959654153
US,5년,순위선형,rank,W (매주),1.4458830131726423,0.19637781003355137,-0.41856822330491106,261,0.013340471219790895
US,5년,순위선형,rank,2W (격주),1.4558580135753894,0.1973543286734012,-0.416390618983701,131,0.010385442491470942
US,5년,순위선형,rank,M (매월),1.4449626678288423,0.19628755100005146,-0.4151275290508404,61,0.007820035060032777
US,5년,순위선형,rank,Q (분기),1.4548626947855596,0.19725703292468144,-0.41646221639148795,21,0.005286606758197378
US,5년,순위선형,rank,Y (연),1.4785524646317212,0.1995642788675085,-0.4074260272657174,6,0.002996894030141667
US,5년,시총가중,mcap,W (매주),1.5817104286345152,0.20941031688758782,-0.3916301372877927,261,0.013239736678632211
US,5년,시총가중,mcap,2W (격주),1.590095241963001,0.2101967073799509,-0.38986177777550957,131,0.010207604070980923
US,5년,시총가중,mcap,M (매월),1.578624301446577,0.20912036265704437,-0.38922960154923714,61,0.007596593766838982
US,5년,시총가중,mcap,Q (분기),1.5928606705039816,0.21045562358653225,-0.390294725424272,21,0.005071469699495222
US,5년,시총가중,mcap,Y (연),1.6294676669022379,0.2138623572758862,-0.3813559023506722,6,0.0020790680547748764
US,5년,균등,equal,W (매주),2.285587432239874,0.26929805976323085,-0.3607695657893768,261,0.016585963519182578
US,5년,균등,equal,2W (격주),2.2897046521408426,0.26961675755209535,-0.3588686682719512,131,0.012747087634056155
US,5년,균등,equal,M (매월),2.2717688941725416,0.26822608152965755,-0.35832228388604903,61,0.00934764615074396
US,5년,균등,equal,Q (분기),2.2990513790885587,0.2703390688768832,-0.35729038910574107,21,0.006383034629892516
US,5년,균등,equal,Y (연),2.411962518361156,0.2789380478636325,-0.33591904149887686,6,0.004784268659595933
KR,10년,순위선형,rank,W (매주),1.2047929644321616,0.08251961760126547,-0.3502180344706295,520,0.048994299904498655
KR,10년,순위선형,rank,2W (격주),1.2514056669731661,0.08479328703600375,-0.34979278539486947,261,0.0377824528788985
KR,10년,순위선형,rank,M (매월),1.077333027353105,0.07607403089270126,-0.35302158717876286,120,0.026642627902321612
KR,10년,순위선형,rank,Q (분기),1.1224728246422004,0.07839643491091985,-0.35010151213538354,40,0.01897233373710103
KR,10년,순위선형,rank,Y (연),0.9218087652491243,0.06770877380128404,-0.37885268718782494,11,0.010212201539066275
KR,10년,시총가중,mcap,W (매주),1.344610590406634,0.0892153792970305,-0.3547533859914578,520,0.0412398159646649
KR,10년,시총가중,mcap,2W (격주),1.3174281400755272,0.08794229323496783,-0.3635262356512232,261,0.03094023486674504
KR,10년,시총가중,mcap,M (매월),1.2653703935666964,0.0854662128636281,-0.35928997931610207,120,0.022013034801029813
KR,10년,시총가중,mcap,Q (분기),1.2669126553963,0.08554030165532445,-0.3562256036039262,40,0.014652575927768436
KR,10년,시총가중,mcap,Y (연),1.1799022316010879,0.08128772806348494,-0.3754376719360867,11,0.00596861330512434
KR,10년,균등,equal,W (매주),1.4971267524575915,0.09612136308777663,-0.3603281882314022,520,0.05067880659844602
KR,10년,균등,equal,2W (격주),1.4447800296357007,0.09379493930851712,-0.3622309052785003,261,0.037564590184139046
KR,10년,균등,equal,M (매월),1.3574283245919117,0.08981109479213156,-0.3583267902698746,120,0.02691103701290112
KR,10년,균등,equal,Q (분기),1.3691990010294695,0.0903555860737224,-0.3609288884420989,40,0.01853889436207007
KR,10년,균등,equal,Y (연),1.2525066999798016,0.08484647928225941,-0.3778302276127097,11,0.011414502722857819
KR,5년,순위선형,rank,W (매주),0.3231517592266828,0.05767425703820628,-0.35021803447063005,261,0.019835870280376464
KR,5년,순위선형,rank,2W (격주),0.29006502307217485,0.052324324304490855,-0.3508426836957663,131,0.014846166274254172
KR,5년,순위선형,rank,M (매월),0.29349675412129983,0.05288428193347583,-0.35302158717876264,61,0.011343288045355091
KR,5년,순위선형,rank,Q (분기),0.3340958468841062,0.05942030248014807,-0.35010151213538343,21,0.008299319967268463
KR,5년,순위선형,rank,Y (연),0.2592472344565169,0.04724163387142255,-0.37885268718782505,6,0.004967228430484737
KR,5년,시총가중,mcap,W (매주),0.33062787944654715,0.05886825863886824,-0.35475338599145956,261,0.016313232532221524
KR,5년,시총가중,mcap,2W (격주),0.2985888107863779,0.05371297047665258,-0.3659187916329686,131,0.01204855010236786
KR,5년,시총가중,mcap,M (매월),0.31388058885807846,0.05618605293612089,-0.35928997931610296,61,0.009325667951390908
