,W (매주),2W (격주),M (매월),Q (분기),Y (연),KOSPI,KOSPI200
2015,0.8615289819670731,0.8921124153656445,0.885657546809595,0.8627673361599334,0.8759210747699794,0.9348964912364328,0.942407966440585
2016,0.878013642347714,0.9101212786811484,0.9212171090417217,0.8513355296896744,0.8368101144962229,0.9659515036536711,1.019367232524405
2017,1.088253155823274,1.1438919726786574,1.1616116855259833,1.0721472853564045,1.0336545598982274,1.1761770159541254,1.2731407064727331
2018,0.8636733977310758,0.9351328284701843,0.9563892038473358,0.8877607013527461,0.8461453179861025,0.9729013437310822,1.0270906025796842
2019,0.960950653157691,1.045906998773312,1.0551132626924276,0.9869319029690071,0.9456460380356949,1.0475620742746283,1.1517230564158858
2020,1.562933317257644,1.7406180427268354,1.7081737247975146,1.559463953132721,1.4913810952225253,1.3696952652426961,1.5262084917865686
2021,1.4860139711036395,1.67133960205549,1.636147498504722,1.5027585069816136,1.444862776013628,1.41935468494535,1.5454189046144196
2022,1.0666958235339965,1.1690370914585337,1.1715925531781595,1.0945971091481848,1.0185324405264053,1.0660234807354056,1.141255341670914
2023,1.197183236106636,1.301831931787618,1.3293917052736581,1.286007282152431,1.2034821110197595,1.2656907654834144,1.4034970792331518
2024,1.0961564640130903,1.1737680393314112,1.2028937910597675,1.1804638403654537,1.1121915583930932,1.143763495702825,1.2460108989689105
2025,1.2338304111658307,1.3198916060786117,1.3368932044523045,1.3223073319738812,1.2461815311697175,1.4404187064145404,1.5890539851805388
